,File,atom,nbo_charge,nmr_shielding,neut_nat,neut_cm5,neut_mulliken,neut_hirsfeld,ox_nat,ox_cm5,ox_mulliken,ox_hirsfeld,red_nat,red_cm5,red_mulliken,red_hirsfeld
120,Ac7_rdkit_conf_3,12,0.20826,30.4898,0.20826,0.088497,0.171682,0.02889,0.2312,0.110214,0.21052,0.050607,0.19098,0.071231,0.137525,0.011624
121,Ac7_rdkit_conf_3,12,0.20826,30.4898,0.20826,0.088497,0.171682,0.02889,0.2312,0.110214,0.21052,0.050607,0.19098,0.071229,0.137516,0.011622
122,Ac4_rdkit_conf_1,0,-0.2566,131.1287,-0.2566,-0.113471,-0.313755,0.008936,-0.2876,-0.082223,-0.340685,0.040184,-0.24641,-0.132264,-0.289835,-0.009857
123,Ac4_rdkit_conf_1,1,-0.44212,213.6728,-0.44212,-0.206318,-0.23521,-0.116298,-0.27201,-0.08709,-0.089696,0.002931,-0.45855,-0.225318,-0.243462,-0.135297
124,Ac4_rdkit_conf_1,2,0.3537,2.9260,0.3537,0.11231,0.250387,0.091229,0.42203,0.186615,0.311254,0.165534,0.30887,0.065185,0.172816,0.044104
125,Ac4_rdkit_conf_1,3,-0.3165,58.9584,-0.3165,-0.119167,-0.253806,-0.06663,-0.20956,-0.041469,-0.169438,0.011068,-0.36608,-0.180238,-0.273255,-0.127701
126,Ac4_rdkit_conf_1,4,-0.15967,30.0019,-0.15967,-0.083356,-0.131562,-0.027473,-0.16373,-0.028485,-0.112017,0.027398,-0.36363,-0.202696,-0.276826,-0.146813
127,Ac4_rdkit_conf_1,5,-0.25573,48.9585,-0.25573,-0.111882,-0.174447,-0.055841,-0.01478,0.027945,-0.031058,0.083985,-0.2488,-0.164318,-0.167983,-0.108277
128,Ac4_rdkit_conf_1,6,-0.14155,29.8936,-0.14155,-0.079428,-0.13808,-0.027792,-0.15211,-0.029059,-0.103152,0.022577,-0.26113,-0.162487,-0.251654,-0.110851
129,Ac4_rdkit_conf_1,7,-0.23074,51.6343,-0.23074,-0.031991,-0.011907,-0.033787,-0.11214,0.037681,0.022039,0.035884,-0.32439,-0.101524,-0.037614,-0.10332
130,Ac4_rdkit_conf_1,8,0.7775,8.7587,0.7775,0.259267,0.314746,0.203492,0.74971,0.275267,0.328438,0.219492,0.68952,0.16892,0.236483,0.113144
131,Ac4_rdkit_conf_1,9,-0.57121,-149.4832,-0.57121,-0.327498,-0.299525,-0.280097,-0.50897,-0.2771,-0.247563,-0.229699,-0.70257,-0.442114,-0.416236,-0.394713
132,Ac4_rdkit_conf_1,10,-0.69686,115.8028,-0.69686,-0.381336,-0.428492,-0.182091,-0.67676,-0.356778,-0.407401,-0.157533,-0.7332,-0.428152,-0.46782,-0.228906
133,Ac4_rdkit_conf_1,11,0.17349,28.3825,0.17349,0.098119,0.150729,0.038315,0.21193,0.130546,0.197984,0.070741,0.15745,0.07989,0.12007,0.020086
134,Ac4_rdkit_conf_1,12,0.17293,28.4109,0.17293,0.097542,0.150414,0.037771,0.21158,0.130176,0.197996,0.070404,0.15684,0.079221,0.119802,0.01945
